ABL1	ENSG00000097007
ABL2	ENSG00000143322
ALK	ENSG00000171094
ANKRD26	ENSG00000107890
ARID1A	ENSG00000117713
ARID1B	ENSG00000049618
ASXL1	ENSG00000171456
ATM	ENSG00000149311
ATR	ENSG00000175054
ATRX	ENSG00000085224
B2M	ENSG00000166710
BCL10	ENSG00000142867
BCL11B	ENSG00000127152
BCL2	ENSG00000171791
BCL6	ENSG00000113916
BCL7A	ENSG00000110987
BCOR	ENSG00000183337
BCORL1	ENSG00000085185
BIRC3	ENSG00000023445
BLM	ENSG00000197299
BRAF	ENSG00000157764
BRCC3	ENSG00000185515
BTG1	ENSG00000133639
BTK	ENSG00000010671
CALR	ENSG00000179218
CARD11	ENSG00000198286
CBLB	ENSG00000114423
CBLC	ENSG00000142273
CBL	ENSG00000110395
CCND1	ENSG00000110092
CCND2	ENSG00000118971
CCND3	ENSG00000112576
CCR4	ENSG00000183813
CD19	ENSG00000177455
CD274	ENSG00000120217
CD28	ENSG00000178562
CD58	ENSG00000116815
CD79A	ENSG00000105369
CD79B	ENSG00000007312
CDKN1B	ENSG00000111276
CDKN2A	ENSG00000147889
CDKN2B	ENSG00000147883
CDKN2C	ENSG00000123080
CEBPA	ENSG00000245848
CHD2	ENSG00000173575
CHEK2	ENSG00000183765
CIITA	ENSG00000179583
CREBBP	ENSG00000005339
CRLF2	ENSG00000205755
CSF1R	ENSG00000182578
CSF3R	ENSG00000119535
CTCF	ENSG00000102974
CTLA4	ENSG00000163599
CTNNB1	ENSG00000168036
CUX1	ENSG00000257923
CXCR4	ENSG00000121966
DDX3X	ENSG00000215301
DDX41	ENSG00000183258
DIS3	ENSG00000083520
DNM2	ENSG00000079805
DNMT3A	ENSG00000119772
EBF1	ENSG00000164330
EED	ENSG00000074266
EGFR	ENSG00000146648
EGR2	ENSG00000122877
ELANE	ENSG00000197561
EP300	ENSG00000100393
EPHA7	ENSG00000135333
EPOR	ENSG00000187266
ETNK1	ENSG00000139163
ETV6	ENSG00000139083
EZH2	ENSG00000106462
FANCL	ENSG00000115392
FAS	ENSG00000026103
FAT1	ENSG00000083857
FAT4	ENSG00000196159
FBXO11	ENSG00000138081
FBXW7	ENSG00000109670
FGFR3	ENSG00000068078
FLT3	ENSG00000122025
FOXO1	ENSG00000150907
GATA1	ENSG00000102145
GATA2	ENSG00000179348
GATA3	ENSG00000107485
GNA13	ENSG00000120063
GNAS	ENSG00000087460
GNB1	ENSG00000078369
H1-2	ENSG00000187837
H1-4	ENSG00000168298
HNRNPK	ENSG00000165119
HRAS	ENSG00000174775
ID3	ENSG00000117318
IDH1	ENSG00000138413
IDH2	ENSG00000182054
IKZF1	ENSG00000185811
IKZF2	ENSG00000030419
IKZF3	ENSG00000161405
IL7R	ENSG00000168685
INO80	ENSG00000128908
IRF4	ENSG00000137265
IRF8	ENSG00000140968
ITK	ENSG00000113263
JAK1	ENSG00000162434
JAK2	ENSG00000096968
JAK3	ENSG00000105639
KDM6A	ENSG00000147050
KIT	ENSG00000157404
KLF2	ENSG00000127528
KLHL6	ENSG00000172578
KMT2A	ENSG00000118058
KMT2C	ENSG00000055609
KMT2D	ENSG00000167548
KRAS	ENSG00000133703
LEF1	ENSG00000138795
LRP1B	ENSG00000168702
LUC7L2	ENSG00000146963
MAP2K1	ENSG00000169032
MAP3K14	ENSG00000006062
MAPK1	ENSG00000100030
MAX	ENSG00000125952
MBD4	ENSG00000129071
MECOM	ENSG00000085276
MED12	ENSG00000184634
MEF2B	ENSG00000213999
MPL	ENSG00000117400
MTOR	ENSG00000198793
MYC	ENSG00000136997
MYD88	ENSG00000172936
NBN	ENSG00000104320
NF1	ENSG00000196712
NFE2	ENSG00000123405
NFKBIA	ENSG00000100906
NFKBIE	ENSG00000146232
NOTCH1	ENSG00000148400
NOTCH2	ENSG00000134250
NPM1	ENSG00000181163
NRAS	ENSG00000213281
NSD1	ENSG00000165671
NSD2	ENSG00000109685
NT5C2	ENSG00000076685
NTRK1	ENSG00000198400
NTRK2	ENSG00000148053
NTRK3	ENSG00000140538
PAX5	ENSG00000196092
PDGFRA	ENSG00000134853
PDGFRB	ENSG00000113721
PHF6	ENSG00000156531
PIGA	ENSG00000165195
PIK3CA	ENSG00000121879
PIK3CD	ENSG00000171608
PIM1	ENSG00000137193
PLCG1	ENSG00000124181
PLCG2	ENSG00000197943
POT1	ENSG00000128513
PPM1D	ENSG00000170836
PRDM1	ENSG00000057657
PRKCB	ENSG00000166501
PRPF40B	ENSG00000110844
PRPF8	ENSG00000174231
PTEN	ENSG00000171862
PTPN11	ENSG00000179295
PTPN1	ENSG00000196396
PTPRD	ENSG00000153707
RAD21	ENSG00000164754
RARA	ENSG00000131759
RB1	ENSG00000139687
REL	ENSG00000162924
RHOA	ENSG00000067560
RIT1	ENSG00000143622
RPL10	ENSG00000147403
RPS15	ENSG00000115268
RRAGC	ENSG00000116954
RUNX1	ENSG00000159216
SAMD9	ENSG00000205413
SAMD9L	ENSG00000177409
SAMHD1	ENSG00000101347
SETBP1	ENSG00000152217
SETD2	ENSG00000181555
SF1	ENSG00000168066
SF3A1	ENSG00000099995
SF3B1	ENSG00000115524
SGK1	ENSG00000118515
SH2B3	ENSG00000111252
SMARCA4	ENSG00000127616
SMC1A	ENSG00000072501
SMC3	ENSG00000108055
SOCS1	ENSG00000185338
SPEN	ENSG00000065526
SRP72	ENSG00000174780
SRSF2	ENSG00000161547
STAG2	ENSG00000101972
STAT3	ENSG00000168610
STAT5B	ENSG00000173757
STAT6	ENSG00000166888
SUZ12	ENSG00000178691
SYK	ENSG00000165025
TBL1XR1	ENSG00000177565
TCF3	ENSG00000071564
TENT5C	ENSG00000183508
TERC	ENSG00000270141
TERT	ENSG00000164362
TET2	ENSG00000168769
TMEM30A	ENSG00000112697
TNFAIP3	ENSG00000118503
TNFRSF14	ENSG00000157873
TP53	ENSG00000141510
TPMT	ENSG00000137364
TRAF2	ENSG00000127191
TRAF3	ENSG00000131323
TYK2	ENSG00000105397
U2AF1	ENSG00000160201
U2AF2	ENSG00000063244
UBA1	ENSG00000130985
WT1	ENSG00000184937
XPO1	ENSG00000082898
ZMYM3	ENSG00000147130
ZNF384	ENSG00000126746
ZRSR2	ENSG00000169249
