Gene	Gene_ID	Locus	Gene_Size	Mut_Freq	Muts_per_Mbp	Mean_Gain	Mean_Loss	Num_Lists	fmi_heme_407	chop_heme_211	mayo_heme_42	goal_core_497	tempus_xt_648	pgdx_elio_505	summary
NOTCH2	ENSG00000134250	01p12	16257	8.50%	5.23	2.7292	1.9037	5	1	1		1	1	1	Encodes a transmembrane receptor that regulates many aspects of development by affecting cell-fate determination.
TENT5C	ENSG00000183508	01p12	5662	1.24%	2.19	2.6484	1.8908	4	1			1	1	1	A non-canonical poly(A) polymerase, is most frequently altered by mutation and deletion in multiple myelomas.
CD58	ENSG00000116815	01p13.1	1773	0.61%	3.42	2.6189	1.8841	2	1			1			A cell surface adhesion molecule expressed in immune cells, is recurrently altered by mutation and deletion in hematopoietic malignancies.
NRAS	ENSG00000213281	01p13.2	4354	3.60%	8.27	2.6076	1.8825	6	1	1	1	1	1	1	A GTPase, is mutated in a diverse range of cancers, most frequently in melanoma and thyroid cancer.
BCL10	ENSG00000142867	01p22.3	2845	1.41%	4.94	2.6070	1.8890	3	1			1	1		A tumor suppressor and pro-apoptotic protein, is infrequently altered in cancer.
JAK1	ENSG00000162434	01p31.3	6303	6.50%	10.32	2.6174	1.9019	5	1	1		1	1	1	An intracellular kinase, is frequently altered in hematologic malignancies and gynecological cancers.
CDKN2C	ENSG00000123080	01p32.3	3034	0.40%	1.33	2.6104	1.8978	4	1			1	1	1	A tumor suppressor and cell cycle regulator, is infrequently altered in cancer.
MPL	ENSG00000117400	01p34.2	3681	1.68%	4.55	2.6467	1.9135	6	1	1	1	1	1	1	A transmembrane protein receptor, is frequently mutated in myeloproliferative neoplasms including essential thrombocytosis and myelofibrosis.
CSF3R	ENSG00000119535	01p34.3	3525	5.53%	15.68	2.6184	1.9050	6	1	1	1	1	1	1	A transmembrane receptor, is frequently mutated in chronic neutrophilic leukemia and atypical chronic myeloid leukemia.
RRAGC	ENSG00000116954	01p34.3	2709	2.17%	8.00	2.6581	1.9111	1				1			An mTORC1 activator, is mutated in follicular lymphomas.
ARID1A	ENSG00000117713	01p36.11	9800	45.43%	46.36	2.5236	1.8566	4	1			1	1	1	A tumor suppressor involved in transcriptional regulation, is inactivated by mutation in various cancer types including endometrial and bladder cancers.
ID3	ENSG00000117318	01p36.12	962	0.45%	4.71	2.5371	1.8588	3	1			1		1	Encodes a helix-loop-helix protein involved in transcription. Mutations and overexpression of ID3 are found in a variety of cancers.
SPEN	ENSG00000065526	01p36.21-p36.13	12445	21.62%	17.38	2.5602	1.8606	4	1			1	1	1	Encodes a tumor suppressor that regulates transcription of ERα-target genes and has been associated with tumor growth inhibition. Somatic mutations and loss of heterozygosity of SPEN have been found in breast cancer.
MTOR	ENSG00000198793	01p36.22	9734	12.06%	12.39	2.5664	1.8577	4	1			1	1	1	An intracellular kinase that regulates cell growth and metabolism, is infrequently mutated in various cancer types.
PIK3CD	ENSG00000171608	01p36.22	5774	5.60%	9.69	2.5671	1.8531	3				1	1	1	Encodes a kinase involved in immune cell regulation. Inactivating mutations of PIK3CD are found in uterine, endometrial and colorectal cancers, among others.
TNFRSF14	ENSG00000157873	01p36.32	1962	1.22%	6.23	2.6045	1.8544	4	1			1	1	1	A cell surface receptor in the tumor necrosis factor family, is recurrently altered by mutation and deletion in hematologic malignancies.
GNB1	ENSG00000078369	01p36.33	3242	4.44%	13.70	2.6075	1.8551	1				1			A guanine nucleotide binding protein, is recurrently altered by mutation in myelodysplastic syndromes and acute myeloid leukemia.
RIT1	ENSG00000143622	01q22	3518	0.69%	1.97	3.1336	1.9800	3				1	1	1	Encodes a RAS-related GTPase that plays a role in neuronal development and differentiation. Activating mutations in RIT1 are frequent in Noonan syndrome and are found in a variety of cancers, including lung adenocarcinoma, hepatocellular carcinoma and myeloid malignancies.
NTRK1	ENSG00000198400	01q23.1	4097	4.58%	11.17	3.1119	1.9793	5	1	1		1	1	1	A receptor tyrosine kinase, is altered by mutation or chromosomal rearrangement in various cancer types including lung and colorectal cancers.
ABL2	ENSG00000143322	01q25.2	12478	6.87%	5.50	3.0771	1.9750	4		1		1	1	1	A tyrosine kinase, is altered by chromosomal rearrangement in acute lymphoblastic leukemia.
XPO1	ENSG00000082898	02p15	5493	5.71%	10.40	2.7802	1.9730	4	1			1	1	1	Encodes a protein that mediates nuclear export of proteins and RNA. It acts as an oncogene in various tumor types by exporting tumor suppressors from the nucleus to the cytoplasm of tumor cells.
